id,country_code
SEQ_2097__L_LMGN,GB
N_93_L_LMGN,GB
SEQ_1462_p,GB
SEQ_1463_p,GB
SEQ_1464_p,GB
SEQ_5511__M_LMGN,GB
N_515_M_LMGN,GB
SEQ_6439__L_LMGN,UA
SEQ_6455__L_LMGN,UA
N_279_S_LMGN,FI
N_280_S_LMGN,FI
N_680_M_LMGN,FI
SEQ_7635__M_LMGN,FI
SEQ_1487_p,FI
N_120_M_LMGN,FI
SEQ_7865__M_LMGN,RS
SEQ_7869__M_LMGN,RS
N_1653_S_LMGN,RS
SEQ_2637__L_LMGN,IT
N_2471_S_LMGN,IT
SEQ_2625__L_LMGN,IT
SEQ_1499_p,IT
SEQ_2617__L_LMGN,IT
N_1838_S_LMGN,IT
SEQ_13729__S_LMGN,IT
N_288_M_LMGN,IT
N_1120_S_LMGN,SE
N_412_S_LMGN,SE
N_614_M_LMGN,PL
N_395_M_LMGN,PL
SEQ_7905__M_LMGN,PL
SEQ_7897__M_LMGN,PL
N_331_S_LMGN,ES
SEQ_3405__S_LMGN,ES
SEQ_1532_p,GB
SEQ_2067__L_LMGN,GB
N_513_M_LMGN,GB
N_739_S_LMGN,HR
N_2158_S_LMGN,HR
N_738_S_LMGN,HR
N_2100_S_LMGN,HR
N_1013_S_LMGN,BE
N_1014_S_LMGN,BE
N_1015_S_LMGN,BE
N_1619_S_LMGN,BE
SEQ_12095__S_LMGN,BE
N_1283_S_LMGN,BE
SEQ_12173__S_LMGN,BE
SEQ_5775__M_LMGN,ES
SEQ_1561_p,ES
SEQ_5787__M_LMGN,ES
N_334_M_LMGN,ES
N_335_M_LMGN,ES
N_1974_S_LMGN,BG
N_1975_S_LMGN,BG
N_324_M_LMGN,BG
N_263_L_LMGN,BG
INET_N_1568,BG
SEQ_1574_p,BG
SEQ_2533__L_LMGN,TR
N_110_L_LMGN,TR
SEQ_8183__L_LMGN,TR
SEQ_45__M_LMGN,TR
SEQ_41__M_LMGN,TR
N_4_M_LMGN,TR
SEQ_1717__L_LMGN,PL
SEQ_1709__L_LMGN,PL
SEQ_1703__L_LMGN,PL
SEQ_1699__L_LMGN,PL
SEQ_10061__M_LMGN,FR
SEQ_7905__S_LMGN,FR
N_1085_S_LMGN,FR
N_235_L_LMGN,GB
N_271_L_LMGN,GB
N_189_L_LMGN,GB
SEQ_4269__L_LMGN,GB
N_278_NS_LMGN,GB
N_279_NS_LMGN,GB
N_187_NS_LMGN,
N_2_NS_LMGN,BE
N_10_NS_LMGN,BE
N_11_NS_LMGN,BE
SEQ_2703__L_LMGN,IT
SEQ_2695__L_LMGN,IT
SEQ_2677__L_LMGN,IT
N_665_S_LMGN,ES
SEQ_211__L_LMGN,GB
N_5_L_LMGN,GB
N_4_L_LMGN,GB
SEQ_2953__M_LMGN,IE
N_142_M_LMGN,IE
SEQ_4329__M_LMGN,IE
N_300_M_LMGN,IE
SEQ_1658_p,IE
SEQ_2963__M_LMGN,IE
SEQ_4931__M_LMGN,LT
N_461_M_LMGN,LT
SEQ_1665_p,LT
N_193_M_LMGN,LT
SEQ_2653__L_LMGN,IT
SEQ_2661__L_LMGN,IT
SEQ_1674_p,IT
SEQ_2675__L_LMGN,IT
N_1948_S_LMGN,NL
SEQ_857__L_LMGN,ES
SEQ_865__L_LMGN,ES
SEQ_5911__L_LMGN,BY
N_998_S_LMGN,BY
N_76_L_LMGN,BY
SEQ_1649__L_LMGN,BY
SEQ_1651__L_LMGN,BY
N_10_L_LMGN,BY
SEQ_3791__L_LMGN,BY
SEQ_3793__L_LMGN,BY
N_1604_S_LMGN,BY
N_2179_S_LMGN,BY
SEQ_2577__L_LMGN,FR
SEQ_2575__L_LMGN,FR
SEQ_8017__M_LMGN,GB
SEQ_1712_p,GB
SEQ_7331__L_LMGN,BG
SEQ_7345__L_LMGN,BG
N_28_L_LMGN,NL
SEQ_8093__L_LMGN,NL
SEQ_1467__L_LMGN,IT
N_859_M_LMGN,GR
SEQ_1738_p,GR
SEQ_1739_p,GR
INET_N_1043,GR
SEQ_171__M_LMGN,GR
SEQ_175__M_LMGN,GR
SEQ_183__M_LMGN,GR
SEQ_201__M_LMGN,GR
N_543_M_LMGN,NL
INET_N_1620,IT
N_777_M_LMGN,IT
SEQ_8955__M_LMGN,IT
N_825_M_LMGN,IT
N_1479_S_LMGN,IT
SEQ_16009__S_LMGN,IT
N_1828_S_LMGN,IT
SEQ_5213__L_LMGN,IT
N_285_S_LMGN,LT
N_286_S_LMGN,LT
SEQ_2641__L_LMGN,IT
SEQ_2649__L_LMGN,IT
SEQ_3327__M_LMGN,FR
SEQ_3323__M_LMGN,FR
N_341_M_LMGN,FR
SEQ_4533__M_LMGN,FR
SEQ_4545__M_LMGN,FR
SEQ_4555__M_LMGN,FR
SEQ_21015__S_LMGN,FR
N_2616_S_LMGN,FR
N_256_L_LMGN,PL
SEQ_6807__L_LMGN,PL
SEQ_1808_p,PL
