id,name,source_id,node_id,lat,long,country_code,comment,tags,nuts_id_1,nuts_id_2,nuts_id_3,uncertainty_nuts_id_1,uncertainty_nuts_id_2,uncertainty_nuts_id_3,method_nuts_id_1,method_nuts_id_2,method_nuts_id_3
N_199_NS_LMGN,N_199_NS_LMGN,['XX_10057'],['N_199_NS_LMGN'],54.08637,2.74915,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_1_L_LMGN,N_1_L_LMGN,['XX_4458'],['N_1_L_LMGN'],35.90259000000001,51.35243,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_201_NS_LMGN,N_201_NS_LMGN,['XX_10059'],['N_201_NS_LMGN'],54.2924,3.9068,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_204_NS_LMGN,N_204_NS_LMGN,['XX_9970'],['N_204_NS_LMGN'],53.50821,3.94651,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_206_L_LMGN,N_206_L_LMGN,['XX_4945'],['N_206_L_LMGN'],38.51253,51.9354,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_207_L_LMGN,N_207_L_LMGN,['XX_4948'],['N_207_L_LMGN'],38.63519,47.04863,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_211_NS_LMGN,N_211_NS_LMGN,['XX_10072'],['N_211_NS_LMGN'],55.77462,4.59172,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_214_NS_LMGN,N_214_NS_LMGN,['XX_1130'],['N_214_NS_LMGN'],58.160165,2.092375,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_218_NS_LMGN,N_218_NS_LMGN,['XX_10078'],['N_218_NS_LMGN'],57.39714,1.94307,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_219_NS_LMGN,N_219_NS_LMGN,['XX_10086'],['N_219_NS_LMGN'],57.80809,1.62886,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_220_NS_LMGN,N_220_NS_LMGN,['XX_10103'],['N_220_NS_LMGN'],57.96576,1.82386,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_222_M_LMGN,N_222_M_LMGN,['XX_5577'],['N_222_M_LMGN'],32.00878,26.84767,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_223_M_LMGN,N_223_M_LMGN,['XX_5578'],['N_223_M_LMGN'],31.632325,26.584640000000004,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_224_M_LMGN,N_224_M_LMGN,['XX_5579'],['N_224_M_LMGN'],31.64051,27.296090000000003,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_226_NS_LMGN,N_226_NS_LMGN,['XX_10083'],['N_226_NS_LMGN'],57.46225,-0.1924,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_227_L_LMGN,N_227_L_LMGN,['XX_4987'],['N_227_L_LMGN'],34.87767,36.14455,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_228_L_LMGN,N_228_L_LMGN,['XX_4988'],['N_228_L_LMGN'],34.638459999999995,35.84324,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_22_NS_LMGN,N_22_NS_LMGN,['XX_10040'],['N_22_NS_LMGN'],65.23303,6.99415,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_2342_S_LMGN,N_2342_S_LMGN,['XX_1060'],['N_2342_S_LMGN'],45.271305,31.61574,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_241_M_LMGN,N_241_M_LMGN,['XX_5615'],['N_241_M_LMGN'],45.72755,51.49806,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_242_M_LMGN,N_242_M_LMGN,['XX_5616'],['N_242_M_LMGN'],45.5391,49.80808,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_243_M_LMGN,N_243_M_LMGN,['XX_5619'],['N_243_M_LMGN'],43.01107,40.79024,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_244_L_LMGN,N_244_L_LMGN,['XX_5052'],['N_244_L_LMGN'],35.23635,35.8001,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_244_M_LMGN,N_244_M_LMGN,['XX_5639'],['N_244_M_LMGN'],32.07674,35.3866,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_244_NS_LMGN,N_244_NS_LMGN,['XX_10117'],['N_244_NS_LMGN'],53.613195,1.830665,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
