id,name,comment,diameter_mm,end_year,is_H_gas,is_bothDirection,lat_mean,length_km,long_mean,max_cap_M_m3_per_d,max_pressure_bar,num_compressor,start_year,waterDepth_m,from_node_id,to_node_id,from_country_code,to_country_code,from_lat,to_lat,from_long,to_long,manually_added
INET_PL_272_EE_2,JAMAL_12,,1420.0,2050,1.0,0.0,52.794441899999995,113.37161995105657,19.7893474,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_301,INET_N_1630,PL,PL ,52.8814838,52.7074,20.6197948,18.9589,False
INET_PL_272_EE_3,JAMAL_13,,1420.0,2050,1.0,0.0,52.5672,300.1305935197765,16.75095,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_1630,INET_N_840,PL ,DE,52.7074,52.427,18.9589,14.543,False
INET_PL_272_EE_4,JAMAL_14,,1420.0,2050,1.0,0.0,52.46382735,103.80376696220702,15.3065,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_840,INET_N_898,DE,PL,52.427,52.5006547,14.543,16.07,False
INET_PL_272_EE_5,JAMAL_15,,1420.0,2050,1.0,0.0,52.5006547,34.3908795568354,16.32395235,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_898,INET_N_1447,PL,PL,52.5006547,52.5006547,16.07,16.5779047,False
INET_PL_272_EE_6,JAMAL_16,,1420.0,2050,1.0,0.0,52.55515535,84.21992658093505,17.19410235,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_1447,INET_N_982,PL,PL,52.5006547,52.609656,16.5779047,17.8103,False
INET_PL_272_EE_7,JAMAL_17,,1420.0,2050,1.0,0.0,52.6344167,72.26695339628685,18.344017200000003,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_982,INET_N_580,PL,PL,52.609656,52.6591774,17.8103,18.8777344,False
INET_PL_272_EE_8,JAMAL_18,,1420.0,2050,1.0,0.0,52.6832887,7.6631425282154,18.9183172,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_580,INET_N_1630,PL,PL ,52.6591774,52.7074,18.8777344,18.9589,False
INET_PL_282_EE_0,JAMAL_20,,1420.0,2050,1.0,0.0,52.551500000000004,289.6786482844788,21.0853655,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_1630,INET_N_1644,PL ,PL,52.7074,52.3956,18.9589,23.211831,False
INET_PL_282_EE_1,JAMAL_21,,1420.0,2050,1.0,0.0,52.3826,11.186752034964828,23.2914155,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_1644,INET_N_1643,PL,BY,52.3956,52.3696,23.211831,23.371,False
INET_PL_285,KIP,,500.0,2050,1.0,0.0,48.106,4.669828622427491,17.08835,45.51031743360152,70.0,3.0,1983.0,292.0434688938135,INET_N_1136,INET_N_765,SI,AT,48.122,48.09,17.1087,17.068,False
INET_PL_287,Kirriemuir_Wooler,,923.7925292425738,2050,1.0,0.0,56.131173265,132.92184747513062,-2.506015724,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_760,INET_N_1636,GB,GB,56.68104364,55.58130289,-2.925588306,-2.086443142,False
INET_PL_289,Wooler_BishopAuckland,,923.7925292425738,2050,1.0,0.0,55.126036545000005,106.55502903764484,-1.8260708275,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1636,INET_N_177,GB,GB,55.58130289,54.6707702,-2.086443142,-1.565698513,False
